epoch,train loss,train accuracy,test loss,test accuracy
0,0.7311808804922466,46.58227848101266,0.7220920580625534,52.0
1,0.7240062633647194,46.835443037974684,0.7195984292030334,50.0
2,0.7213348391689832,53.67088607594937,0.7181830608844757,70.0
3,0.7192053846166103,55.18987341772152,0.715315209031105,54.0
4,0.7177597447286679,54.68354430379747,0.7113312131166458,60.0
5,0.7123939133897612,58.22784810126582,0.7097489994764328,56.0
6,0.7061296211013312,58.734177215189874,0.741561721265316,49.0
7,0.70240103836301,59.49367088607595,0.7082309627532959,55.0
8,0.6925236610672142,58.734177215189874,0.7438994351029397,49.0
9,0.6887301956550984,63.29113924050633,0.6526574873924256,64.0
10,0.6663706780988958,63.037974683544306,0.6441277596354484,69.0
11,0.6253600771668592,69.36708860759494,0.647578763961792,66.0
12,0.6316370294818395,68.10126582278481,0.6793607860803604,58.0
13,0.6222220245795914,67.59493670886076,0.647981080263853,64.0
14,0.6020939607408983,70.88607594936708,0.6434146943688392,64.0
15,0.5654548827228667,75.18987341772151,0.7005076873302459,59.0
16,0.5545798952066445,73.92405063291139,0.6061295206844807,66.0
17,0.5040740843815139,80.0,0.8262990936636925,59.0
18,0.5333661597929423,75.18987341772151,0.9163816064596176,54.0
19,0.4891275702586657,78.9873417721519,0.9230992251634598,61.0
20,0.4895390078896963,77.9746835443038,0.6880131980776787,58.0
21,0.4721292817139927,80.75949367088607,0.6045931594073772,68.0
22,0.41279531839904904,83.0379746835443,0.7966929399967193,54.0
23,0.3883215246604213,84.81012658227849,0.7481921274028719,66.0
24,0.3797792758179616,87.84810126582279,0.7161823189631105,64.0
25,0.38625055162967004,84.81012658227849,1.157842065989971,57.0
26,0.3890456915278978,87.34177215189874,0.85746398948133,58.0
27,0.32667709434334236,88.86075949367088,0.626072579100728,72.0
28,0.3119212842251681,86.58227848101266,0.5051249140873552,74.0
29,0.2908936781030667,89.36708860759494,0.6553275545686483,71.0
